,Marka,Model,EAN,RAM,Flash,SIMM,Kolor,mgsm,source
1234,Xiaomi,Poco F1,6941059607878,6 GB,128 GB,2,null,https://www.mgsm.pl/pl/katalog/Xiaomi/PocoF1/,https://www.euro.com.pl/telefony-komorkowe/pocophone-f1-6-128-gb-niebieski.bhtml#afterSearch-6941059607878||||product
1235,Xiaomi,Poco F1,6941059609940,null,null,null,null,https://www.mgsm.pl/pl/katalog/Xiaomi/PocoF1/,null
1236,Kruger&Matz,Iron 2,5901890037860,null,null,null,null,https://www.mgsm.pl/pl/katalog/Kruger&Matz/Iron2/,null
1237,Kruger&Matz,Iron 2S,5901890037884,null,null,null,null,https://www.mgsm.pl/pl/katalog/Kruger&Matz/Iron2S/,null
1238,LG,G7 Fit,8806087036114,null,null,null,null,https://www.mgsm.pl/pl/katalog/LG/G7Fit/,null
1239,HTC,U12 Life Dual SIM,4718487711901,4 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/HTC/U12LifeDualSIM/,https://www.euro.com.pl/telefony-komorkowe/htc-u12-life-dual-sim-moonlight-blue.bhtml#afterSearch-4718487711901||||product
1240,HTC,U12 Life Dual SIM,4718487711918,null,null,null,null,https://www.mgsm.pl/pl/katalog/HTC/U12LifeDualSIM/,null
1241,Sony,Xperia XZ3 Dual SIM,7311271622079,4 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Sony/XperiaXZ3DualSIM/,https://www.euro.com.pl/telefony-komorkowe/sony-xperia-xz3-czarny.bhtml#afterSearch-7311271622079||||product
1242,Sharp,Aquos D10,4974019975245,null,null,null,null,https://www.mgsm.pl/pl/katalog/Sharp/AquosD10/,null
1243,Hammer,Blade 2 Pro,5902983603931,6 GB,128 GB,2,null,https://www.mgsm.pl/pl/katalog/Hammer/Blade2Pro/,https://www.euro.com.pl/telefony-komorkowe/myphone-hammer-blade-2-pro.bhtml#afterSearch-5902983603931||||product
1244,Apple,iPhone XR,190198771841,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhoneXR/,null
1245,Apple,iPhone XR,190198775238,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhoneXR/,null
1246,Apple,iPhone XR,190198773203,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhoneXR/,null
1247,Apple,iPhone XR,190198773883,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhoneXR/,null
1248,Apple,iPhone XR,190198775573,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhoneXR/,null
1249,Apple,iPhone XR,190198773548,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhoneXR/,null
